PopName,Area,Year,YearReg,Month,VitalStat,RefCode,Access,Births,NoteCode1,NoteCode2,NoteCode3,LDB
AUS,1,1962,1962,1,1,34,O,19682,.,.,.,1
AUS,1,1962,1962,2,1,34,O,18353,.,.,.,1
AUS,1,1962,1962,3,1,34,O,20783,.,.,.,1
AUS,1,1962,1962,4,1,34,O,19681,.,.,.,1
AUS,1,1962,1962,5,1,34,O,20440,.,.,.,1
AUS,1,1962,1962,6,1,34,O,19463,.,.,.,1
AUS,1,1962,1962,7,1,34,O,20125,.,.,.,1
AUS,1,1962,1962,8,1,34,O,20004,.,.,.,1
AUS,1,1962,1962,9,1,34,O,20154,.,.,.,1
AUS,1,1962,1962,10,1,34,O,20105,.,.,.,1
AUS,1,1962,1962,11,1,34,O,18720,.,.,.,1
AUS,1,1962,1962,12,1,34,O,19308,.,.,.,1
AUS,1,1962,1962,TOT,1,34,O,236818,.,.,.,1
AUS,1,1962,1962,UNK,1,34,O,0,.,.,.,1
AUS,1,1963,1963,1,1,35,O,19884,.,.,.,1
AUS,1,1963,1963,2,1,35,O,18348,.,.,.,1
AUS,1,1963,1963,3,1,35,O,20579,.,.,.,1
AUS,1,1963,1963,4,1,35,O,19196,.,.,.,1
AUS,1,1963,1963,5,1,35,O,19408,.,.,.,1
AUS,1,1963,1963,6,1,35,O,18942,.,.,.,1
AUS,1,1963,1963,7,1,35,O,20094,.,.,.,1
AUS,1,1963,1963,8,1,35,O,19761,.,.,.,1
AUS,1,1963,1963,9,1,35,O,20265,.,.,.,1
AUS,1,1963,1963,10,1,35,O,20037,.,.,.,1
AUS,1,1963,1963,11,1,35,O,18334,.,.,.,1
AUS,1,1963,1963,12,1,35,O,18817,.,.,.,1
AUS,1,1963,1963,TOT,1,35,O,233665,.,.,.,1
AUS,1,1963,1963,UNK,1,35,O,0,.,.,.,1
AUS,1,1964,1964,1,1,36,O,19065,.,.,.,1
AUS,1,1964,1964,2,1,36,O,17857,.,.,.,1
AUS,1,1964,1964,3,1,36,O,19763,.,.,.,1
AUS,1,1964,1964,4,1,36,O,19086,.,.,.,1
AUS,1,1964,1964,5,1,36,O,19250,.,.,.,1
AUS,1,1964,1964,6,1,36,O,19120,.,.,.,1
AUS,1,1964,1964,7,1,36,O,19310,.,.,.,1
AUS,1,1964,1964,8,1,36,O,18918,.,.,.,1
AUS,1,1964,1964,9,1,36,O,19264,.,.,.,1
AUS,1,1964,1964,10,1,36,O,19215,.,.,.,1
AUS,1,1964,1964,11,1,36,O,18015,.,.,.,1
AUS,1,1964,1964,12,1,36,O,18778,.,.,.,1
AUS,1,1964,1964,TOT,1,36,O,227641,.,.,.,1
AUS,1,1964,1964,UNK,1,36,O,0,.,.,.,1
AUS,1,1965,1965,1,1,37,O,18355,.,.,.,1
AUS,1,1965,1965,2,1,37,O,17212,.,.,.,1
AUS,1,1965,1965,3,1,37,O,18835,.,.,.,1
AUS,1,1965,1965,4,1,37,O,17817,.,.,.,1
AUS,1,1965,1965,5,1,37,O,19176,.,.,.,1
AUS,1,1965,1965,6,1,37,O,18262,.,.,.,1
AUS,1,1965,1965,7,1,37,O,18982,.,.,.,1
AUS,1,1965,1965,8,1,37,O,19142,.,.,.,1
AUS,1,1965,1965,9,1,37,O,19450,.,.,.,1
AUS,1,1965,1965,10,1,37,O,19347,.,.,.,1
AUS,1,1965,1965,11,1,37,O,17915,.,.,.,1
AUS,1,1965,1965,12,1,37,O,18178,.,.,.,1
AUS,1,1965,1965,TOT,1,37,O,222671,.,.,.,1
AUS,1,1965,1965,UNK,1,37,O,0,.,.,.,1
AUS,1,1966,1966,1,1,37,O,18550,.,.,.,1
AUS,1,1966,1966,2,1,37,O,16673,.,.,.,1
AUS,1,1966,1966,3,1,37,O,19275,.,.,.,1
AUS,1,1966,1966,4,1,37,O,17982,.,.,.,1
AUS,1,1966,1966,5,1,37,O,18527,.,.,.,1
AUS,1,1966,1966,6,1,37,O,18115,.,.,.,1
AUS,1,1966,1966,7,1,37,O,18969,.,.,.,1
AUS,1,1966,1966,8,1,37,O,18955,.,.,.,1
AUS,1,1966,1966,9,1,37,O,19092,.,.,.,1
AUS,1,1966,1966,10,1,37,O,19748,.,.,.,1
AUS,1,1966,1966,11,1,37,O,18744,.,.,.,1
AUS,1,1966,1966,12,1,37,O,18558,.,.,.,1
AUS,1,1966,1966,TOT,1,37,O,223188,.,.,.,1
AUS,1,1966,1966,UNK,1,37,O,0,.,.,.,1
AUS,1,1967,1967,1,1,37,O,19294,.,.,.,1
AUS,1,1967,1967,2,1,37,O,17716,.,.,.,1
AUS,1,1967,1967,3,1,37,O,19704,.,.,.,1
AUS,1,1967,1967,4,1,37,O,18514,.,.,.,1
AUS,1,1967,1967,5,1,37,O,19461,.,.,.,1
AUS,1,1967,1967,6,1,37,O,18716,.,.,.,1
AUS,1,1967,1967,7,1,37,O,19610,.,.,.,1
AUS,1,1967,1967,8,1,37,O,19448,.,.,.,1
AUS,1,1967,1967,9,1,37,O,19638,.,.,.,1
AUS,1,1967,1967,10,1,37,O,19932,.,.,.,1
AUS,1,1967,1967,11,1,37,O,18416,.,.,.,1
AUS,1,1967,1967,12,1,37,O,18976,.,.,.,1
AUS,1,1967,1967,TOT,1,37,O,229425,.,.,.,1
AUS,1,1967,1967,UNK,1,37,O,0,.,.,.,1
AUS,1,1968,1968,1,1,38,O,18913,.,.,.,1
AUS,1,1968,1968,2,1,38,O,18491,.,.,.,1
AUS,1,1968,1968,3,1,38,O,20234,.,.,.,1
AUS,1,1968,1968,4,1,38,O,19460,.,.,.,1
AUS,1,1968,1968,5,1,38,O,20423,.,.,.,1
AUS,1,1968,1968,6,1,38,O,19565,.,.,.,1
AUS,1,1968,1968,7,1,38,O,20501,.,.,.,1
AUS,1,1968,1968,8,1,38,O,20825,.,.,.,1
AUS,1,1968,1968,9,1,38,O,20929,.,.,.,1
AUS,1,1968,1968,10,1,38,O,21293,.,.,.,1
